blockhash,time_sent,peer_id,tcp_window_size,received_size,received_bytes_missing,received_tx_missing,send_size,prefill_size,window_bytes_used,window_bytes_available,rtts_without_prefill
00000000000000000000f332893549d15a7ffa27ea751623cab092d2d970ca76,2025-06-26 15:31:20,10,14000,543,0,0,543,0,543,13457,0
0000000000000000000004e36ece4b4fa8c11262e084f2e203937a6cd9c9f594,2025-06-26 16:28:04,5,14400,24311,0,0,22127,-2184,9911,4489,1
0000000000000000000004e36ece4b4fa8c11262e084f2e203937a6cd9c9f594,2025-06-26 16:28:04,9,11520,24311,0,0,22127,-2184,1271,10249,2
00000000000000000001532ecfaad7441075cf4519f2568e33968ded282b3a63,2025-06-26 17:24:45,10,5600,14720,0,0,14720,0,3520,2080,2
000000000000000000008a710100c30bd97c17a27dbdb02f5cfd0839a9a574bb,2025-06-26 22:02:55,1,14480,21179,0,0,20270,-909,6699,7781,1
000000000000000000008a710100c30bd97c17a27dbdb02f5cfd0839a9a574bb,2025-06-26 22:02:55,298,14280,21179,0,0,20270,-909,6899,7381,1
00000000000000000001356a3be1dd2aad41e1611ddedae650d8d4bb63f065ed,2025-06-28 13:22:47,1,14480,16807,0,0,15846,-961,2327,12153,1
00000000000000000000260a89c3f2cdf60e34e8ff54067bc18e9301d22320a1,2025-06-28 20:33:00,1,14480,14325,0,0,14325,0,14325,155,0
000000000000000000009b304a8ff086540d35760e41b72eea81340b9545ece6,2025-06-28 23:21:31,1,11584,2342,0,0,2097,-245,2342,9242,0
00000000000000000001594bc31805552df15faa42f2c914eb84a5e9e783141e,2025-06-29 06:30:56,1,14480,23758,0,0,20412,-3346,9278,5202,1
00000000000000000001d3e49fd7b990070da6b5a1ca587894127c875a2e0dc2,2025-06-29 09:11:10,2591,14480,10717,0,0,10717,0,10717,3763,0
000000000000000000025b25ca5e097fae77cfaff7ab2b7a3578223461c5de66,2025-06-29 15:02:55,1,14480,22984,0,0,22636,-348,8504,5976,1
0000000000000000000197ab76527297296e3c249bfcff35b7425e9a9bd0a6f2,2025-06-29 16:09:05,1,14480,3633,0,0,3633,0,3633,10847,0
000000000000000000023506205c04278b8314e117c757260fa502522cb8de21,2025-06-29 19:22:09,298,14280,20046,0,0,19352,-694,5766,8514,1
00000000000000000001630c9fd11e96aae84b97536f86c575219f22ec0b554b,2025-06-29 21:18:21,1,14480,1883,0,0,1639,-244,1883,12597,0
0000000000000000000036f206af890b6d62ac399f59ce727a922e8e5b9eaa16,2025-06-30 02:50:32,1,14480,1764,0,0,1209,-555,1764,12716,0
000000000000000000010f5879d2f2d31706fd9d7d7ef343107bdd540c9d66a2,2025-06-30 13:05:43,1845,14480,18908,0,0,17338,-1570,4428,10052,1
000000000000000000010f5879d2f2d31706fd9d7d7ef343107bdd540c9d66a2,2025-06-30 13:05:43,2115,14480,18908,0,0,17338,-1570,4428,10052,1
000000000000000000010f5879d2f2d31706fd9d7d7ef343107bdd540c9d66a2,2025-06-30 13:05:43,298,14280,18908,0,0,17338,-1570,4628,9652,1
00000000000000000002489b4fcb8aa0188c0c9147c8b86cb491343e1f380b75,2025-06-30 23:21:26,2381,14480,10059,0,0,9242,-817,10059,4421,0
00000000000000000002489b4fcb8aa0188c0c9147c8b86cb491343e1f380b75,2025-06-30 23:21:26,2997,8688,10059,0,0,9242,-817,1371,7317,1
00000000000000000002489b4fcb8aa0188c0c9147c8b86cb491343e1f380b75,2025-06-30 23:21:26,298,9996,10059,0,0,9242,-817,63,9933,1
000000000000000000015489889ac524e7ffb4ac8114e023e56a0202d53355af,2025-07-01 03:58:46,1,14480,1662,0,0,1662,0,1662,12818,0
000000000000000000025d544fb2fd2744f808c0a5a6430264d3376b3a0c1a7a,2025-07-01 04:16:03,2,14480,4211,0,0,3442,-769,4211,10269,0
00000000000000000000ace1e52721ae5d5a7a9e157268030b694ce726b92b8b,2025-07-01 10:41:22,1,14480,16118,0,0,15740,-378,1638,12842,1
